episode,reward,win,wrong_guesses,repeated_guesses,episode_length
1,50,1,5,0,10
2,60,1,1,0,4
3,55,1,0,0,1
4,35,1,5,0,7
5,50,1,5,0,9
6,-60,0,6,0,6
7,-60,0,6,0,6
8,60,1,1,0,4
9,-60,0,6,0,6
10,65,1,1,0,5
11,-45,0,6,0,9
12,-60,0,6,0,6
13,-60,0,6,0,6
14,35,1,5,0,7
15,65,1,1,0,5
16,60,1,3,0,8
17,55,1,3,0,6
18,45,1,3,0,5
19,-50,0,6,0,8
20,-55,0,6,0,7
21,-60,0,6,0,6
22,60,1,1,0,4
23,-60,0,6,0,6
24,-55,0,6,0,7
25,-50,0,6,0,8
26,45,1,2,0,3
27,65,1,2,0,7
28,-50,0,6,0,8
29,-60,0,6,0,6
30,-60,0,6,0,6
31,-55,0,6,0,7
32,40,1,5,0,8
33,-60,0,6,0,6
34,70,1,0,0,4
35,-60,0,6,0,6
36,-60,0,6,0,6
37,45,1,4,0,7
38,-60,0,6,0,6
39,65,1,1,0,4
40,55,1,4,0,8
41,-60,0,6,0,6
42,45,1,3,0,5
43,-60,0,6,0,6
44,45,1,4,0,7
45,-50,0,6,0,8
46,50,1,1,0,2
47,55,1,1,0,3
48,-60,0,6,0,6
49,35,1,4,0,5
50,35,1,5,0,7
51,-60,0,6,0,6
52,65,1,2,0,6
53,55,1,2,0,5
54,-55,0,6,0,7
55,35,1,5,0,7
56,-60,0,6,0,6
57,-60,0,6,0,6
58,-50,0,6,0,8
59,-60,0,6,0,6
60,-60,0,6,0,6
61,45,1,2,0,3
62,40,1,3,0,4
63,-60,0,6,0,6
64,65,1,2,0,5
65,65,1,0,0,2
66,-55,0,6,0,7
67,60,1,2,0,6
68,50,1,2,0,4
69,-50,0,6,0,8
70,-55,0,6,0,7
71,55,1,3,0,7
72,-60,0,6,0,6
73,50,1,4,0,8
74,-60,0,6,0,6
75,-60,0,6,0,6
76,50,1,5,0,10
77,-60,0,6,0,6
78,55,1,2,0,4
79,-50,0,6,0,8
80,-60,0,6,0,6
81,55,1,4,0,9
82,45,1,2,0,3
83,-55,0,6,0,7
84,65,1,2,0,7
85,-55,0,6,0,7
86,-60,0,6,0,6
87,-60,0,6,0,6
88,-60,0,6,0,6
89,65,1,0,0,3
90,65,1,2,0,7
91,65,1,0,0,2
92,45,1,5,0,9
93,35,1,4,0,5
94,55,1,4,0,7
95,45,1,3,0,5
96,-50,0,6,0,8
97,50,1,2,0,4
98,-60,0,6,0,6
99,50,1,4,0,8
100,-50,0,6,0,8
101,-50,0,6,0,8
102,-45,0,6,0,9
103,45,1,5,0,9
104,-55,0,6,0,7
105,-60,0,6,0,6
106,-55,0,6,0,7
107,60,1,1,0,4
108,65,1,1,0,5
109,50,1,5,0,10
